id_venta,producto,precio,metodo_pago,fecha,region
1,Notebook Lenovo,599990,Debito,2025-01-05,Metropolitana
2,Mouse Logitech,14990,Credito,2025-01-06,Araucania
3,Monitor LG,129990,Transferencia,2025-01-06,Biobio
4,Teclado Redragon,29990,Debito,2025-01-07,Los Lagos
5,SSD Kingston,49990,Credito,2025-01-08,Araucania
6,Audifonos Sony,39990,Transferencia,2025-01-09,Metropolitana
7,Tablet Samsung,249990,Debito,2025-01-09,Biobio
8,Disco Duro Seagate,69990,Credito,2025-01-10,Los Rios
9,Impresora HP,119990,Debito,2025-01-11,Metropolitana
10,Smartwatch Huawei,99990,Credito,2025-01-12,Los Lagos
11,Notebook HP,649990,Debito,2025-01-13,Araucania
12,Mouse Razer,29990,Credito,2025-01-14,Biobio
13,Monitor Samsung,139990,Transferencia,2025-01-15,Metropolitana
14,SSD Crucial,45990,Debito,2025-01-16,Los Lagos
15,Teclado Logitech,39990,Credito,2025-01-17,Araucania
16,Audifonos JBL,49990,Debito,2025-01-18,Los Rios
17,Disco Duro WD,79990,Transferencia,2025-01-18,Biobio
18,Tablet Lenovo,279990,Credito,2025-01-19,Metropolitana
19,Impresora Canon,109990,Debito,2025-01-20,Los Lagos
20,Smartwatch Xiaomi,89990,Credito,2025-01-21,Araucania
